,Week_Return,Month_Return,Quarter_Return,Semi_Return,Annual_Return
SPY,0.007117148296520001,0.046788505914199995,0.0576522329053,0.0963304123638,0.268770403689
QQQ,0.0138074685471,0.055149846507099996,0.102392279249,0.166053728669,0.361904382094
DIA,0.011191745326700002,0.0667215927508,0.060472994016,0.126184951772,0.350048422769
XLF,0.0102959917789,0.0827970392538,0.0281039810151,0.09556585663389999,0.298389351987
VGT,0.0207510871687,0.0641471141436,0.109749835721,0.17695805444600002,0.41498859640600005
Time,week1,week4,week13,week26,week49
