,Ticker,StartDate,EndDate,Start_Price,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week30,week31,week32,week33,week34,week35,week36,week37,week38,week39,week40,week41,week42,week43,week44,week45,week46,week47,week48,week49,week1_Return,week2_Return,week3_Return,week4_Return,week5_Return,week6_Return,week7_Return,week8_Return,week9_Return,week10_Return,week11_Return,week12_Return,week13_Return,week14_Return,week15_Return,week16_Return,week17_Return,week18_Return,week19_Return,week20_Return,week21_Return,week22_Return,week23_Return,week24_Return,week25_Return,week26_Return,week27_Return,week28_Return,week29_Return,week30_Return,week31_Return,week32_Return,week33_Return,week34_Return,week35_Return,week36_Return,week37_Return,week38_Return,week39_Return,week40_Return,week41_Return,week42_Return,week43_Return,week44_Return,week45_Return,week46_Return,week47_Return,week48_Return,week49_Return
10,FB,20170130,20180125,130.979996,132.059998,134.050003,133.720001,135.539993,137.300003,139.320007,138.509995,141.759995,141.729996,139.919998,142.270004,146.559998,151.800003,150.289993,144.850006,150.039993,151.529999,154.710007,149.800003,153.399994,151.039993,151.440002,159.970001,164.429993,172.449997,169.619995,168.080002,167.410004,166.320007,172.020004,173.509995,170.009995,162.869995,169.470001,172.5,174.520004,171.270004,179.869995,180.169998,178.770004,178.740005,182.419998,172.830002,176.960007,179.509995,177.619995,184.330002,187.770004,181.289993,0.00824554919058,0.0234387470893,0.0209192631217,0.0348144536514,0.0482516963888,0.0636739292617,0.0574896872038,0.0823026365034,0.0820736015292,0.0682547127273,0.0861964295678,0.118949476835,0.158955624033,0.147427069703,0.105894109204,0.145518381295,0.156894210014,0.181172787637,0.143686116772,0.171171161129,0.153153134926,0.156207105091,0.221331545926,0.25538248604,0.316613240697,0.295006872653,0.283249405505,0.278134135842,0.269812277289,0.313330350079,0.324706064276,0.297984426568,0.243472285646,0.293861705416,0.316995001282,0.332417234155,0.307604284856,0.373263097366,0.37555354636,0.364864937086,0.364635902111,0.392731742029,0.31951448525,0.351046055918,0.370514586059,0.356084901698,0.407314152002,0.433577719761,0.384104432252
11,FB,20170130,20180125,130.979996,132.059998,134.050003,133.720001,135.539993,137.300003,139.320007,138.509995,141.759995,141.729996,139.919998,142.270004,146.559998,151.800003,150.289993,144.850006,150.039993,151.529999,154.710007,149.800003,153.399994,151.039993,151.440002,159.970001,164.429993,172.449997,169.619995,168.080002,167.410004,166.320007,172.020004,173.509995,170.009995,162.869995,169.470001,172.5,174.520004,171.270004,179.869995,180.169998,178.770004,178.740005,182.419998,172.830002,176.960007,179.509995,177.619995,184.330002,187.770004,181.289993,0.00824554919058,0.0234387470893,0.0209192631217,0.0348144536514,0.0482516963888,0.0636739292617,0.0574896872038,0.0823026365034,0.0820736015292,0.0682547127273,0.0861964295678,0.118949476835,0.158955624033,0.147427069703,0.105894109204,0.145518381295,0.156894210014,0.181172787637,0.143686116772,0.171171161129,0.153153134926,0.156207105091,0.221331545926,0.25538248604,0.316613240697,0.295006872653,0.283249405505,0.278134135842,0.269812277289,0.313330350079,0.324706064276,0.297984426568,0.243472285646,0.293861705416,0.316995001282,0.332417234155,0.307604284856,0.373263097366,0.37555354636,0.364864937086,0.364635902111,0.392731742029,0.31951448525,0.351046055918,0.370514586059,0.356084901698,0.407314152002,0.433577719761,0.384104432252
12,GE,20170130,20180125,28.982594,28.692381,29.059984,29.524324,29.067495,29.116253,28.804222,28.657957,28.882229,29.272266,29.291767,29.252766,28.531197,28.501942,27.985144,26.727276,27.136814,27.029552,26.90279,28.457218,27.090406,26.56925,25.713762,26.333254,25.477766,25.104105,25.349936,24.77961,24.140453,24.081453,24.720612,23.324299,24.292273,24.937817,24.40152,23.269337,23.199818,22.166948,20.270044,19.991964,18.889578,17.856709,18.28376,17.638218,17.787188,17.469383,17.379999,18.530001,19.02,16.26,-0.0100133549123,0.00267022337614,0.018691563633,0.00292937892309,0.00461169900803,-0.00615445256556,-0.0112011022892,-0.00346294054977,0.00999468853616,0.0106675406625,0.00932187091328,-0.0155747618726,-0.0165841608243,-0.0344154839971,-0.0778162920821,-0.0636858108698,-0.0673867218373,-0.0717604504276,-0.0181272939199,-0.0652870478053,-0.083268737091,-0.112786039787,-0.0914114174873,-0.120928720183,-0.133821320479,-0.125339298477,-0.145017523276,-0.16707065627,-0.169106360873,-0.147053158872,-0.195230799562,-0.161832339783,-0.13955883314,-0.158062939432,-0.197127179161,-0.199525825742,-0.23516342257,-0.30061318873,-0.310207913067,-0.348244052965,-0.38388161529,-0.369146874845,-0.391420312481,-0.386280330877,-0.397245705474,-0.400329763444,-0.360650706421,-0.343744041682,-0.438973612921
13,FB,20170130,20180125,130.979996,132.059998,134.050003,133.720001,135.539993,137.300003,139.320007,138.509995,141.759995,141.729996,139.919998,142.270004,146.559998,151.800003,150.289993,144.850006,150.039993,151.529999,154.710007,149.800003,153.399994,151.039993,151.440002,159.970001,164.429993,172.449997,169.619995,168.080002,167.410004,166.320007,172.020004,173.509995,170.009995,162.869995,169.470001,172.5,174.520004,171.270004,179.869995,180.169998,178.770004,178.740005,182.419998,172.830002,176.960007,179.509995,177.619995,184.330002,187.770004,181.289993,0.00824554919058,0.0234387470893,0.0209192631217,0.0348144536514,0.0482516963888,0.0636739292617,0.0574896872038,0.0823026365034,0.0820736015292,0.0682547127273,0.0861964295678,0.118949476835,0.158955624033,0.147427069703,0.105894109204,0.145518381295,0.156894210014,0.181172787637,0.143686116772,0.171171161129,0.153153134926,0.156207105091,0.221331545926,0.25538248604,0.316613240697,0.295006872653,0.283249405505,0.278134135842,0.269812277289,0.313330350079,0.324706064276,0.297984426568,0.243472285646,0.293861705416,0.316995001282,0.332417234155,0.307604284856,0.373263097366,0.37555354636,0.364864937086,0.364635902111,0.392731742029,0.31951448525,0.351046055918,0.370514586059,0.356084901698,0.407314152002,0.433577719761,0.384104432252
14,AAPL,20170130,20180125,119.705017,128.227966,131.749222,135.119827,135.406479,137.907227,137.383347,138.223511,142.137741,143.096542,139.992844,139.053818,142.019119,145.360062,151.488388,149.12619,152.193069,152.034271,153.830734,143.210754,144.540756,142.605316,143.101578,147.925232,149.146042,148.38179,155.220261,156.915909,156.935837,159.287384,163.462372,160.921509,158.101639,150.010727,153.259048,155.281784,159.307312,155.610596,166.122803,173.625839,173.970001,169.979996,173.070007,169.639999,171.699997,174.539993,170.600006,173.029999,175.279999,178.460007,0.0711995972566,0.100615707694,0.128773299452,0.131167952635,0.152058873188,0.147682448431,0.15470106821,0.187400031863,0.195409729569,0.169481843856,0.161637343905,0.186409079245,0.214318878548,0.265514109572,0.245780617533,0.271400922152,0.270074344503,0.285081760608,0.196363841626,0.207474503763,0.191306092041,0.195451799652,0.235747972034,0.245946458535,0.23956199764,0.296689686782,0.31085490761,0.311021383506,0.330665898489,0.365543200249,0.344317164251,0.320760340396,0.25316992353,0.280305970802,0.297203641849,0.330832374386,0.299950494138,0.387768091625,0.450447469549,0.453322553724,0.419990575667,0.445804121978,0.417150285355,0.43435923826,0.458084192077,0.425170057826,0.445469900397,0.464266105071,0.490831474507
15,SBUX,20170130,20180125,54.585083,54.419079,55.037029,56.439686,55.782494,55.125309,53.232216,54.477932,56.253319,57.204765,56.773186,57.911003,60.382813,59.431362,59.745121,58.829144,60.95657,62.788521,61.301292,59.183716,58.612465,57.479809,57.164635,57.873775,57.105541,53.18557,54.603848,52.614384,52.139488,53.781834,54.345768,53.445446,54.108322,54.365559,53.237686,54.434811,54.325981,53.692787,54.583214,55.968327,56.037582,56.503529,56.354336,59.019878,58.950256,57.697052,56.961044,58.612091,59.676319,60.92952,-0.00304119717103,0.00827966131333,0.0339763704307,0.0219365975866,0.00989695298256,-0.0247845551504,-0.00196300883155,0.0305621226224,0.0479926356437,0.0400860982478,0.0609309323575,0.106214549495,0.0887839448737,0.094532017108,0.0777512969981,0.116725791184,0.150287176443,0.123041106304,0.0842470643491,0.0737817326393,0.0530314481706,0.0472574531031,0.0602489145249,0.0461748496379,-0.0256391109637,0.00034377523984,-0.0361032518719,-0.0448033577232,-0.0147155405077,-0.00438425640939,-0.0208781765524,-0.00873427269498,-0.0040216848255,-0.0246843446221,-0.00275298656228,-0.00474675471319,-0.0163468836349,-3.42401238082e-05,0.0253410625024,0.0266098157257,0.0351459756872,0.0324127564302,0.0812455483488,0.0799700716769,0.0570113450226,0.043527661211,0.0737748809505,0.0932715628554,0.11623023455
16,COP,20170130,20180125,46.431126,48.983475,48.862041,47.318512,46.767952,46.915424,44.182297,44.418247,44.61488,48.891533,49.304455,47.190704,47.524971,46.286217,46.807281,45.8829,46.139942,44.350502,42.580833,44.874485,44.301071,43.579365,42.511627,42.956516,42.423096,45.019207,45.317612,44.551708,42.880646,43.348148,44.004635,44.690964,46.839474,49.714096,50.042343,48.649788,49.720001,50.259998,51.389999,53.669998,52.57,50.080002,50.130001,51.23,51.959999,52.68,55.59,56.990002,59.18,59.75,0.0549706461997,0.0523552885622,0.0191118776659,0.0072543147026,0.0104304599462,-0.048433652029,-0.0433519316331,-0.0391169923383,0.0529904659215,0.0618836812185,0.0163592414278,0.0235584422398,-0.00312094520387,0.00810135425103,-0.0118072949599,-0.00627131032747,-0.0448109744312,-0.0829248250409,-0.0335258076662,-0.0458755835471,-0.0614191652384,-0.0844153338,-0.0748336363844,-0.086322050428,-0.030408889933,-0.0239820589318,-0.0404775451709,-0.0764676695543,-0.0663989497046,-0.0522600076509,-0.0374783501912,0.00879470379417,0.0707062327112,0.0777757791185,0.0477839370081,0.0708334103291,0.0824634750404,0.10680061905,0.155905587989,0.132214626886,0.0785868514151,0.0796636937041,0.103354676344,0.119076866669,0.134583727304,0.19725720199,0.227409432199,0.274576024712,0.286852272331
17,FNMA,20170130,20180125,4.24,4.39,4.3,2.71,2.95,2.78,2.75,2.8,2.64,2.35,2.62,2.38,2.95,2.58,2.68,2.65,2.57,2.57,2.44,2.4,2.35,2.36,2.26,2.31,2.57,2.64,2.68,2.68,2.78,2.84,2.7,2.51,2.74,2.83,3.15,3.08,3.17,3.09,3.16,3.01,2.91,2.7,2.74,2.97,2.72,2.75,2.67,2.44,2.19,2.21,0.0353773584906,0.0141509433962,-0.360849056604,-0.304245283019,-0.344339622642,-0.35141509434,-0.339622641509,-0.377358490566,-0.445754716981,-0.382075471698,-0.438679245283,-0.304245283019,-0.391509433962,-0.367924528302,-0.375,-0.393867924528,-0.393867924528,-0.424528301887,-0.433962264151,-0.445754716981,-0.443396226415,-0.466981132075,-0.455188679245,-0.393867924528,-0.377358490566,-0.367924528302,-0.367924528302,-0.344339622642,-0.330188679245,-0.36320754717,-0.408018867925,-0.353773584906,-0.332547169811,-0.257075471698,-0.27358490566,-0.252358490566,-0.271226415094,-0.254716981132,-0.290094339623,-0.313679245283,-0.36320754717,-0.353773584906,-0.299528301887,-0.358490566038,-0.35141509434,-0.370283018868,-0.424528301887,-0.483490566038,-0.478773584906
18,XOM,20170130,20180125,81.748138,80.254967,80.687462,79.608391,79.054276,80.220833,78.733467,79.550064,79.559784,80.07502,80.531921,78.247398,79.132042,80.395821,80.379784,80.458282,80.752678,79.192383,79.113884,80.723244,79.565292,79.192383,78.721352,79.761551,78.623222,78.11293,78.71154,77.492821,75.937218,76.016487,75.867859,78.523285,79.355576,80.237419,80.881454,81.277786,82.050636,82.476692,82.773941,82.982018,82.889999,80.550003,81.669998,82.889999,82.760002,82.440002,83.900002,86.82,86.93,87.150002,-0.018265504714,-0.0129749254962,-0.0261748714081,-0.0329531909338,-0.0186830555089,-0.0368775494312,-0.0268883677815,-0.0267694659908,-0.0204667413954,-0.014877611035,-0.0428234830254,-0.0320019032115,-0.0165424807596,-0.0167386564817,-0.015778414427,-0.0121771580901,-0.0312637701913,-0.0322240244787,-0.0125372152207,-0.0267020883093,-0.0312637701913,-0.0370257485253,-0.0243013119149,-0.0382261428389,-0.0444683889925,-0.037145775724,-0.0520539929607,-0.0710832092592,-0.070113535797,-0.0719316567186,-0.0394486416314,-0.029267480074,-0.0184801640375,-0.0106018806202,-0.00575367233441,0.0037003656279,0.00891217852571,0.0125483347401,0.0150936771184,0.013968036801,-0.0146564194526,-0.000955862750048,0.013968036801,0.0123778232111,0.00846336096365,0.0263230949676,0.0620425385102,0.0633881349077,0.0660793521682
19,BA,20170130,20180125,161.078979,159.532089,164.878403,172.267166,176.849564,178.606003,175.377701,172.659668,174.033401,175.348267,175.220734,175.053909,178.301834,179.950302,181.120255,176.769745,183.166992,185.213715,187.794357,193.252289,197.197433,195.2397,200.094498,206.165451,209.754623,238.557098,235.037125,233.6241,234.509338,234.628693,239.044952,239.303558,251.726776,252.960159,254.621231,257.008392,258.361115,260.917389,257.8638,262.65802,262.420013,264.630005,267.98999,275.540009,289.940002,297.25,295.619995,296.670013,328.119995,337.730011,-0.00960330149597,0.0235873359987,0.0694577720163,0.0979059160786,0.108810125994,0.0887683923052,0.0718944773048,0.0804227968194,0.0885856620683,0.0877939200248,0.0867582479524,0.106921803869,0.117155715272,0.124418941096,0.0974103889745,0.137125360101,0.149831692191,0.165852665356,0.19973624243,0.224228227819,0.212074357635,0.242213597592,0.279902891612,0.302184954872,0.48099459955,0.459142133003,0.450369883459,0.455865560211,0.456606532129,0.484023262899,0.485628723783,0.562753734614,0.570410742422,0.580722901155,0.595542718209,0.603940604813,0.619810298152,0.600853206302,0.630616369874,0.629138790357,0.642858718393,0.663717957884,0.710589492872,0.799986589187,0.845368041475,0.835248750863,0.841767404051,1.03701312882,1.09667340268
